Rank,Company ID,Company Name,Total Score,Tier,Confidence,Reasons
16,4e1270c0-6a9e-4930-a727-9957baba5897,Company_4e1270c0,0.1,Unqualified,High,Active website present; Average Google Maps rating (3.2); Partial industry match (Manufacturing); Serviceable geography (UAE); Product compatibility match: Turmeric; Minor topic surge (2 topics); Review site comparison activity; Business trigger event (M&A); Broad buying committee (5 stakeholders); Medium stakeholder seniority (Director/Manager)
17,e7771f76-08ab-4bbb-9e18-683eda29295e,Company_e7771f76,12.9,Unqualified,High,Active website present; Strong Google Maps rating (4.1); Significant number of reviews (>50); Partial industry match (Construction); Serviceable geography (India); Product compatibility match: Ashwagandha; Strong operational certifications (WHO-GMP/ISO/FDA); Sustained topic surge (5 topics); High pricing page visits; Business trigger event (New facility); Single stakeholder engaged; High stakeholder seniority (C-level/VP)
18,bd68a4a0-bec4-4f80-a897-7202f3b9393f,Company_bd68a4a0,0.8,Unqualified,High,Partial industry match (Construction); Serviceable geography (UAE); No priority products found in portfolio (Quilts); Single stakeholder engaged; High stakeholder seniority (C-level/VP)
19,06d52a15-5413-4759-ba02-7ba85c7c415c,Company_06d52a15,3.3,Unqualified,High,Partial industry match (Healthcare); Serviceable geography (Singapore); Product compatibility match: Ashwagandha; Review site comparison activity; Single stakeholder engaged
20,b8aa2b58-da02-48cf-8b32-3f7d683f7e7a,Company_b8aa2b58,0.0,Unqualified,High,Partial industry match (Construction); Serviceable geography (Saudi Arabia); No priority products found in portfolio (Quilts|Carpets|Blankets); Active hiring in operations/logistics; Single stakeholder engaged; No engagement in >180 days (–15%)
21,8c76a9ab-43e2-476a-86f5-28afb18ae024,Company_8c76a9ab,15.0,Unqualified,High,Active website present; Average Google Maps rating (3.9); Strong industry match (Retail); High priority geography (France); Product compatibility match: Ashwagandha; Strong operational certifications (WHO-GMP/ISO/FDA); Review site comparison activity; Business trigger event (M&A); Multiple stakeholders engaged (2); High stakeholder seniority (C-level/VP)
22,84e9f6ff-227a-45fc-8303-10154c7adeb1,Company_84e9f6ff,43.2,T1,High,Active website present; Strong Google Maps rating (4.9); Significant number of reviews (>50); Strong industry match (Retail); High priority geography (France); Product compatibility match: Rice; Product compatibility match: Turmeric; Strong operational certifications (WHO-GMP/ISO/FDA); Active hiring in operations/logistics; Explicit sourcing action (RFP published); Sustained topic surge (3 topics); Review site comparison activity; Import gap detected (supplier switch possible); Business trigger event (New facility); Broad buying committee (4 stakeholders)
23,63483fe2-5a9c-4cd9-9685-a6861e14bb28,Company_63483fe2,0.0,Unqualified,High,Partial industry match (Construction); Serviceable geography (Netherlands); No priority products found in portfolio (Quilts); Business trigger event (Funding round); Single stakeholder engaged; Active competitor contract (–40%); Hiring freeze/layoffs (–25%)
24,28e06a13-2074-4d46-88fa-3148df446423,Company_28e06a13,0.1,Unqualified,High,Partial industry match (E-commerce); High priority geography (UK); No priority products found in portfolio (Blankets); Multiple stakeholders engaged (2)
25,286a126f-d0cc-425d-94cd-02f4d5b2ecff,Company_286a126f,11.8,Unqualified,High,Active website present; Strong Google Maps rating (4.5); Significant number of reviews (>50); Partial industry match (Healthcare); High priority geography (France); No priority products found in portfolio (Spices); Strong operational certifications (WHO-GMP/ISO/FDA); High pricing page visits; Review site comparison activity; Single stakeholder engaged; High stakeholder seniority (C-level/VP)
26,a96cf2ff-3914-4f71-88bf-49838797d5e1,Company_a96cf2ff,0.6,Unqualified,High,Active website present; Average Google Maps rating (3.5); Partial industry match (Healthcare); High priority geography (Germany); Product compatibility match: Turmeric; Sustained topic surge (3 topics); Review site comparison activity; Import gap detected (supplier switch possible); Single stakeholder engaged
27,4797e0d5-502b-4338-b500-14fc49416de5,Company_4797e0d5,0.0,Unqualified,High,Partial industry match (E-commerce); Serviceable geography (India); Product compatibility match: Ashwagandha; Strong operational certifications (WHO-GMP/ISO/FDA); Business trigger event (M&A); Single stakeholder engaged; Active competitor contract (–40%)
28,f6d47881-146d-4963-a41f-1e199e8296f1,Company_f6d47881,0.0,Unqualified,High,Active website present; Strong industry match (Retail); Serviceable geography (Singapore); No priority products found in portfolio (Electronics); High pricing page visits; Business trigger event (M&A); Broad buying committee (4 stakeholders); High stakeholder seniority (C-level/VP)
29,05043608-3ae5-4362-8a48-34eaee4e64f0,Company_05043608,0.2,Unqualified,High,Partial industry match (Healthcare); Serviceable geography (Singapore); Product compatibility match: Rice; Strong operational certifications (WHO-GMP/ISO/FDA); Single stakeholder engaged; Hiring freeze/layoffs (–25%)
30,79ece75a-c189-4b55-bbf0-efca5b2ec5c3,Company_79ece75a,13.4,Unqualified,High,Active website present; Average Google Maps rating (3.1); Strong industry match (Retail); High priority geography (UK); No priority products found in portfolio (Textiles); Business trigger event (Funding round); Single stakeholder engaged; High stakeholder seniority (C-level/VP)
31,9ac5c714-b523-4d54-bbf1-af4b2cff7fd9,Company_9ac5c714,0.0,Unqualified,High,Strong industry match (Distribution); Serviceable geography (UAE); Product compatibility match: Turmeric; Sustained topic surge (3 topics); Single stakeholder engaged
32,0f6fe599-6921-43bf-b164-477b34e80698,Company_0f6fe599,0.0,Unqualified,High,Partial industry match (Manufacturing); High priority geography (UK); Product compatibility match: Turmeric; Single stakeholder engaged
33,903133c1-faf7-468a-8e0d-13be1b9f10f0,Company_903133c1,49.3,T2,High,Active website present; Strong Google Maps rating (4.6); Significant number of reviews (>50); Strong industry match (Retail); Serviceable geography (Qatar); Product compatibility match: Rice; Basic operational certifications present; High pricing page visits; Import gap detected (supplier switch possible); Business trigger event (Funding round); Broad buying committee (4 stakeholders); Medium stakeholder seniority (Director/Manager)
34,9b4aa2bc-dd9e-40d9-9c62-b946a85552e9,Company_9b4aa2bc,0.0,Unqualified,High,Partial industry match (Construction); Serviceable geography (India); No priority products found in portfolio (Electronics|Spices|Carpets); Single stakeholder engaged; High stakeholder seniority (C-level/VP)
35,16480772-4b4e-4ab7-a268-1e45a3b03c2e,Company_16480772,7.0,Unqualified,High,Active website present; Average Google Maps rating (3.0); Partial industry match (Construction); Serviceable geography (Netherlands); No priority products found in portfolio (Electronics); Strong operational certifications (WHO-GMP/ISO/FDA); Single stakeholder engaged
36,538b2063-1d2f-4552-8aae-216a93f89b8d,Company_538b2063,11.1,Unqualified,High,Active website present; Average Google Maps rating (3.9); Partial industry match (E-commerce); Serviceable geography (Qatar); Product compatibility match: Ashwagandha; Active hiring in operations/logistics; Minor topic surge (1 topics); High pricing page visits; Review site comparison activity; Business trigger event (New facility); Single stakeholder engaged; Medium stakeholder seniority (Director/Manager)
37,31467035-efe7-4c57-a507-491500b87755,Company_31467035,3.9,Unqualified,High,Active website present; Average Google Maps rating (3.1); Partial industry match (Healthcare); Serviceable geography (Qatar); No priority products found in portfolio (Textiles); Basic operational certifications present; Review site comparison activity; Business trigger event (New facility); Single stakeholder engaged; Medium stakeholder seniority (Director/Manager)
38,85f5d43c-8111-4e95-87a1-8f15abb66564,Company_85f5d43c,0.3,Unqualified,High,Active website present; Average Google Maps rating (3.8); Partial industry match (Manufacturing); High priority geography (UK); Product compatibility match: Turmeric; Product compatibility match: Ashwagandha; Active hiring in operations/logistics; Minor topic surge (1 topics); Business trigger event (Funding round); Single stakeholder engaged; Medium stakeholder seniority (Director/Manager)
39,449a540d-0f76-4e10-b1c5-205dc839e010,Company_449a540d,10.7,Unqualified,High,Active website present; Average Google Maps rating (3.5); Strong industry match (Wholesale); Serviceable geography (Singapore); Product compatibility match: Turmeric; Strong operational certifications (WHO-GMP/ISO/FDA); High pricing page visits; Single stakeholder engaged; High stakeholder seniority (C-level/VP)
40,29c11d10-d04a-40a4-9dae-d1399965d6ea,Company_29c11d10,11.7,Unqualified,High,Active website present; Strong Google Maps rating (4.0); Partial industry match (Healthcare); Serviceable geography (Qatar); Product compatibility match: Ashwagandha; Product compatibility match: Turmeric; Strong operational certifications (WHO-GMP/ISO/FDA); Minor topic surge (2 topics); Business trigger event (New facility); Single stakeholder engaged
41,4001cae2-3bc9-46fd-a8c0-92557cb46df9,Company_4001cae2,0.0,Unqualified,High,Active website present; Average Google Maps rating (3.6); Strong industry match (Wholesale); Serviceable geography (UAE); Product compatibility match: Rice; High pricing page visits; Business trigger event (New facility); Broad buying committee (4 stakeholders); Medium stakeholder seniority (Director/Manager)
42,db2135ff-7824-40ed-ba02-60605017f724,Company_db2135ff,0.0,T1,High,Active website present; Strong Google Maps rating (4.7); Significant number of reviews (>50); Strong industry match (Wholesale); Serviceable geography (Netherlands); Product compatibility match: Turmeric; Active hiring in operations/logistics; Explicit sourcing action (RFP published); Minor topic surge (2 topics); High pricing page visits; Multiple stakeholders engaged (2); High stakeholder seniority (C-level/VP)
43,aa103524-f80c-4ab7-ae7d-d4ea1aa5f696,Company_aa103524,6.6,Unqualified,High,Active website present; Strong Google Maps rating (4.4); Significant number of reviews (>50); Partial industry match (Healthcare); High priority geography (USA); No priority products found in portfolio (Carpets|Spices|Textiles); Minor topic surge (2 topics); High pricing page visits; Review site comparison activity; Import gap detected (supplier switch possible); Broad buying committee (3 stakeholders); Medium stakeholder seniority (Director/Manager); Active competitor contract (–40%)
44,8d66f589-faa5-40c8-8e6f-c81fcca72015,Company_8d66f589,1.3,T1,High,Active website present; Strong Google Maps rating (4.5); Significant number of reviews (>50); Partial industry match (Healthcare); Serviceable geography (Qatar); No priority products found in portfolio (Electronics|Spices|Textiles); Active hiring in operations/logistics; Explicit sourcing action (RFP published); High pricing page visits; Review site comparison activity; Import gap detected (supplier switch possible); Business trigger event (New facility); Single stakeholder engaged; High stakeholder seniority (C-level/VP)
45,88537dfc-15d3-42b4-94b0-89bdfe7e2da8,Company_88537dfc,17.8,T1,High,Active website present; Average Google Maps rating (3.1); Strong industry match (Wholesale); Serviceable geography (UAE); No priority products found in portfolio (Textiles); Explicit sourcing action (Quote requested); Sustained topic surge (5 topics); Review site comparison activity; Business trigger event (New facility); Broad buying committee (3 stakeholders); High stakeholder seniority (C-level/VP)
46,186d8c79-4c6e-4d1e-ab22-c00640056da1,Company_186d8c79,0.1,Unqualified,High,Active website present; Average Google Maps rating (3.5); Strong industry match (Wholesale); High priority geography (USA); Product compatibility match: Turmeric; Strong operational certifications (WHO-GMP/ISO/FDA); Single stakeholder engaged; High stakeholder seniority (C-level/VP)
47,80f553d6-a75b-4c7f-85bd-f1184ec48ce6,Company_80f553d6,0.0,Unqualified,High,Active website present; Average Google Maps rating (3.4); Strong industry match (Retail); High priority geography (France); Product compatibility match: Turmeric; Product compatibility match: Rice; Product compatibility match: Ashwagandha; Import gap detected (supplier switch possible); Single stakeholder engaged; High stakeholder seniority (C-level/VP); No engagement in >180 days (–15%)
48,5ea8f403-dc53-4422-ac2c-e7cce96b0414,Company_5ea8f403,0.1,Unqualified,High,Partial industry match (E-commerce); Serviceable geography (India); Product compatibility match: Rice; Single stakeholder engaged
49,1f6d9e0e-a3e2-4043-90f0-2455cd190a25,Company_1f6d9e0e,8.6,Unqualified,High,Active website present; Strong Google Maps rating (4.0); Partial industry match (E-commerce); Serviceable geography (Singapore); No priority products found in portfolio (Spices); Active hiring in operations/logistics; Broad buying committee (3 stakeholders); Medium stakeholder seniority (Director/Manager)
50,4637b2c2-5050-48e4-89f6-c451d4096220,Company_4637b2c2,26.8,T3,High,Active website present; Strong Google Maps rating (4.4); Significant number of reviews (>50); Strong industry match (Wholesale); Serviceable geography (India); Product compatibility match: Rice; Active hiring in operations/logistics; Minor topic surge (1 topics); Review site comparison activity; Business trigger event (Funding round); Single stakeholder engaged; Hiring freeze/layoffs (–25%)
51,3f91f021-6fed-48bd-8ae0-e3a166491b21,Company_3f91f021,0.0,Unqualified,High,Active website present; Average Google Maps rating (3.2); Partial industry match (Manufacturing); Serviceable geography (UAE); No priority products found in portfolio (Carpets); Strong operational certifications (WHO-GMP/ISO/FDA); Minor topic surge (2 topics); Single stakeholder engaged; High stakeholder seniority (C-level/VP)
52,f511c94e-385b-42ad-b159-a5850e1fc7cb,Company_f511c94e,14.7,Unqualified,High,Active website present; Strong industry match (Distribution); High priority geography (UK); Product compatibility match: Ashwagandha; Strong operational certifications (WHO-GMP/ISO/FDA); Minor topic surge (1 topics); High pricing page visits; Single stakeholder engaged; High stakeholder seniority (C-level/VP)
53,e9e21878-528a-4894-a4ef-dc4d2cae82c5,Company_e9e21878,0.0,Unqualified,High,Active website present; Average Google Maps rating (3.6); Partial industry match (Manufacturing); Serviceable geography (India); Product compatibility match: Ashwagandha; Active hiring in operations/logistics; Sustained topic surge (4 topics); High pricing page visits; Single stakeholder engaged; High stakeholder seniority (C-level/VP)
54,b49d0dd6-4d0e-4cb8-a48c-4824f6f4cc68,Company_b49d0dd6,0.0,Unqualified,High,Strong industry match (Retail); Serviceable geography (Netherlands); No priority products found in portfolio (Electronics|Carpets|Spices); Business trigger event (M&A); Single stakeholder engaged; High stakeholder seniority (C-level/VP)
55,832adb47-a276-4deb-8146-0f4321063fd9,Company_832adb47,35.2,T3,High,Active website present; Average Google Maps rating (3.5); Strong industry match (Wholesale); Serviceable geography (Saudi Arabia); Product compatibility match: Turmeric; High pricing page visits; Import gap detected (supplier switch possible); Single stakeholder engaged; Medium stakeholder seniority (Director/Manager)
56,10550f9b-09be-4375-b7a7-37c4605a28e8,Company_10550f9b,21.7,T1,High,Active website present; Partial industry match (E-commerce); Serviceable geography (India); Product compatibility match: Ashwagandha; Explicit sourcing action (Quote requested); Single stakeholder engaged; High stakeholder seniority (C-level/VP)
57,7f33e88e-b81d-40fa-82fc-d15e3a9148ae,Company_7f33e88e,0.1,Unqualified,High,Active website present; Partial industry match (Manufacturing); High priority geography (USA); Product compatibility match: Turmeric; Business trigger event (New facility); Broad buying committee (5 stakeholders); High stakeholder seniority (C-level/VP)
58,6e67ff21-ecea-4057-9f4f-352e036ad64c,Company_6e67ff21,8.7,Unqualified,High,Partial industry match (Healthcare); High priority geography (UK); Product compatibility match: Turmeric; Product compatibility match: Ashwagandha; Single stakeholder engaged
59,e95f1f08-96fb-4184-9929-8f120ee32fbf,Company_e95f1f08,0.0,Unqualified,High,Strong Google Maps rating (4.4); Significant number of reviews (>50); Strong industry match (Retail); Serviceable geography (Netherlands); No priority products found in portfolio (Electronics); Basic operational certifications present; Minor topic surge (1 topics); Review site comparison activity; Import gap detected (supplier switch possible); Broad buying committee (4 stakeholders); High stakeholder seniority (C-level/VP); No engagement in >180 days (–15%)
60,acf98746-a09c-46c4-97b2-9e6208cc5b8c,Company_acf98746,14.4,T1,High,Average Google Maps rating (3.3); Partial industry match (Construction); Serviceable geography (Qatar); No priority products found in portfolio (Carpets); Active hiring in operations/logistics; Explicit sourcing action (Quote requested); Review site comparison activity; Broad buying committee (3 stakeholders)
61,2509e6b2-2556-4c2e-8a03-f403609b8bce,Company_2509e6b2,25.3,T3,High,Average Google Maps rating (3.7); Strong industry match (Wholesale); High priority geography (Germany); No priority products found in portfolio (Spices); High pricing page visits; Business trigger event (Funding round); Single stakeholder engaged
62,afd71b8c-39c8-4149-ae20-ba697008bff0,Company_afd71b8c,21.7,T3,High,Active website present; Partial industry match (E-commerce); High priority geography (UK); Product compatibility match: Ashwagandha; Active hiring in operations/logistics; High pricing page visits; Single stakeholder engaged; High stakeholder seniority (C-level/VP); Financial distress (–20%)
63,79851dad-de02-4df4-90a9-dd6b257971d6,Company_79851dad,1.1,Unqualified,High,Partial industry match (Healthcare); Serviceable geography (Qatar); No priority products found in portfolio (Electronics); Single stakeholder engaged
64,af28bef6-258f-4e8c-8f00-f13d5804077f,Company_af28bef6,0.0,Unqualified,High,Active website present; Strong industry match (Retail); High priority geography (Germany); Product compatibility match: Rice; Review site comparison activity; Business trigger event (M&A); Broad buying committee (3 stakeholders)
65,f51c0bc7-7c8a-4623-a684-ffca62984c68,Company_f51c0bc7,2.5,Unqualified,High,Active website present; Average Google Maps rating (3.9); Strong industry match (Wholesale); High priority geography (Germany); Product compatibility match: Ashwagandha; Business trigger event (M&A); Single stakeholder engaged
66,3561082c-cbb9-422f-aaa6-97013594b01e,Company_3561082c,15.8,T1,High,Active website present; Strong Google Maps rating (4.1); Significant number of reviews (>50); Partial industry match (Healthcare); High priority geography (USA); Product compatibility match: Ashwagandha; Product compatibility match: Rice; Product compatibility match: Turmeric; Strong operational certifications (WHO-GMP/ISO/FDA); Active hiring in operations/logistics; Explicit sourcing action (Quote requested); Sustained topic surge (3 topics); Review site comparison activity; Business trigger event (New facility); Single stakeholder engaged; Medium stakeholder seniority (Director/Manager)
67,47dc5ae8-d9a5-4a83-ad06-4ca67c4dcf30,Company_47dc5ae8,0.0,Unqualified,High,Active website present; Average Google Maps rating (3.0); Strong industry match (Wholesale); Serviceable geography (Qatar); Product compatibility match: Rice; Active hiring in operations/logistics; High pricing page visits; Single stakeholder engaged
68,8a487596-ed71-45dd-aafb-bf7500602543,Company_8a487596,0.2,Unqualified,High,Strong industry match (Distribution); High priority geography (France); Product compatibility match: Turmeric; High pricing page visits; Single stakeholder engaged; Active competitor contract (–40%)
69,ebf96dc0-f4ee-4112-be66-a5704f635605,Company_ebf96dc0,1.1,T1,High,Average Google Maps rating (3.6); Partial industry match (E-commerce); Serviceable geography (India); Product compatibility match: Turmeric; Explicit sourcing action (Quote requested); High pricing page visits; Review site comparison activity; Single stakeholder engaged
70,2c90d956-a203-4500-8b6e-0990101224f4,Company_2c90d956,0.0,Unqualified,High,Partial industry match (E-commerce); Serviceable geography (Saudi Arabia); Product compatibility match: Turmeric; Single stakeholder engaged; Medium stakeholder seniority (Director/Manager)
71,d78d7675-228d-4646-a416-e1c29b7c0d6b,Company_d78d7675,0.0,Unqualified,High,Active website present; Strong Google Maps rating (4.0); Partial industry match (Manufacturing); High priority geography (USA); Product compatibility match: Turmeric; Product compatibility match: Rice; Active hiring in operations/logistics; Review site comparison activity; Single stakeholder engaged; High stakeholder seniority (C-level/VP); No engagement in >180 days (–15%)
72,2ca378a4-a9d3-4ea2-ac0f-486867ebf467,Company_2ca378a4,13.6,Unqualified,High,Active website present; Average Google Maps rating (3.7); Strong industry match (Retail); Serviceable geography (Singapore); Product compatibility match: Turmeric; High pricing page visits; Import gap detected (supplier switch possible); Single stakeholder engaged; Medium stakeholder seniority (Director/Manager)
73,b556b760-cdef-431a-aaa6-6efb3a81d0ec,Company_b556b760,20.4,T3,High,Active website present; Average Google Maps rating (3.5); Partial industry match (Construction); Serviceable geography (Singapore); No priority products found in portfolio (Carpets|Quilts); Sustained topic surge (5 topics); High pricing page visits; Review site comparison activity; Import gap detected (supplier switch possible); Single stakeholder engaged; Medium stakeholder seniority (Director/Manager)
74,3e5c45f2-d18e-4428-bd56-f88b6437faa8,Company_3e5c45f2,0.9,Unqualified,High,Strong industry match (Retail); Serviceable geography (India); Product compatibility match: Ashwagandha; Product compatibility match: Rice; Single stakeholder engaged; High stakeholder seniority (C-level/VP)
75,f8f0a48d-09eb-4f68-85ea-917e73f17310,Company_f8f0a48d,12.4,Unqualified,High,Average Google Maps rating (3.6); Strong industry match (Retail); High priority geography (Germany); Product compatibility match: Ashwagandha; Strong operational certifications (WHO-GMP/ISO/FDA); Active hiring in operations/logistics; Import gap detected (supplier switch possible); Business trigger event (New facility); Single stakeholder engaged
76,5b3b684e-8ae8-424f-a8a2-233192d61376,Company_5b3b684e,0.3,Unqualified,High,Active website present; Average Google Maps rating (3.4); Strong industry match (Wholesale); Serviceable geography (Qatar); No priority products found in portfolio (Blankets|Carpets); Active hiring in operations/logistics; Minor topic surge (2 topics); Review site comparison activity; Multiple stakeholders engaged (2)
77,1b45b8e8-189f-439e-9bd0-cff68d0717ec,Company_1b45b8e8,0.7,Unqualified,High,Active website present; Average Google Maps rating (3.1); Strong industry match (Wholesale); Serviceable geography (Netherlands); No priority products found in portfolio (Carpets|Textiles); Sustained topic surge (5 topics); Review site comparison activity; Single stakeholder engaged
78,7e2d8c94-507f-4b9c-9103-141ff7702903,Company_7e2d8c94,10.7,Unqualified,High,Active website present; Average Google Maps rating (3.6); Partial industry match (E-commerce); Serviceable geography (India); Product compatibility match: Ashwagandha; Strong operational certifications (WHO-GMP/ISO/FDA); Import gap detected (supplier switch possible); Broad buying committee (4 stakeholders)
79,76b9791e-022d-4913-8228-b0bf7f799169,Company_76b9791e,0.1,Unqualified,High,Average Google Maps rating (3.3); Partial industry match (Manufacturing); Serviceable geography (Singapore); Product compatibility match: Ashwagandha; Active hiring in operations/logistics; Sustained topic surge (4 topics); High pricing page visits; Review site comparison activity; Business trigger event (M&A); Single stakeholder engaged; Medium stakeholder seniority (Director/Manager)
80,05291f90-0bd4-4d51-a5a9-9b66b5b559c7,Company_05291f90,7.3,Unqualified,High,Active website present; Average Google Maps rating (3.9); Partial industry match (E-commerce); Serviceable geography (Singapore); Product compatibility match: Turmeric; Sustained topic surge (5 topics); High pricing page visits; Single stakeholder engaged
81,7090b450-134c-4b13-b4c5-d0e88972db45,Company_7090b450,0.1,Unqualified,High,Active website present; Average Google Maps rating (3.6); Partial industry match (Healthcare); Serviceable geography (UAE); Product compatibility match: Rice; Product compatibility match: Turmeric; Sustained topic surge (4 topics); Broad buying committee (5 stakeholders); High stakeholder seniority (C-level/VP)
82,1312d563-539b-4c14-867d-1c6d5a2948a5,Company_1312d563,0.1,Unqualified,High,Active website present; Partial industry match (Healthcare); Serviceable geography (Netherlands); Product compatibility match: Turmeric; Sustained topic surge (3 topics); High pricing page visits; Single stakeholder engaged; High stakeholder seniority (C-level/VP)
83,0cfd56ac-0338-46b6-890b-6953b9672da5,Company_0cfd56ac,4.2,Unqualified,High,Active website present; Strong Google Maps rating (4.6); Significant number of reviews (>50); Strong industry match (Retail); Serviceable geography (Netherlands); Product compatibility match: Turmeric; Active hiring in operations/logistics; Minor topic surge (1 topics); Review site comparison activity; Import gap detected (supplier switch possible); Broad buying committee (4 stakeholders); Medium stakeholder seniority (Director/Manager)
84,2af2ddc6-ac73-4d9f-b099-db913c74b891,Company_2af2ddc6,23.5,T3,High,Active website present; Average Google Maps rating (3.3); Partial industry match (Healthcare); High priority geography (Germany); Product compatibility match: Turmeric; Single stakeholder engaged; High stakeholder seniority (C-level/VP)
85,127a6182-ec55-48ba-8526-c1c50b510ca0,Company_127a6182,0.6,Unqualified,High,Partial industry match (Healthcare); High priority geography (Germany); Product compatibility match: Ashwagandha; Single stakeholder engaged
86,3439de5a-8543-4f0f-a13a-fcbb6943d18a,Company_3439de5a,23.8,T3,High,Active website present; Average Google Maps rating (3.6); Strong industry match (Retail); High priority geography (USA); No priority products found in portfolio (Blankets); Business trigger event (M&A); Single stakeholder engaged
